,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
0,42356,42356,42356,42356
1,42002,41673,41052,41225
2,41004,41673,40310,39240
3,39688,41130,38622,35320
4,37831,40308,37561,35273
5,37828,40308,36497,35200
6,37326,39792,35331,35200
7,35395,38765,33679,34894
8,34442,38765,33218,34782
9,34438,38699,32066,33800
10,33823,38434,31923,33755
11,33475,38142,31397,32881
12,31793,38142,30367,32759
13,31793,38142,29374,32488
14,31793,38014,29374,31917
15,31492,37727,29237,31309
16,31444,36967,28836,30299
17,30328,36967,28277,29748
18,30210,35138,27809,29748
19,29743,35138,27279,29748
20,29518,35138,26384,29146
21,29070,35138,26384,28514
22,28414,34794,26214,28203
23,28215,34794,25956,28203
24,27679,34794,25749,27953
25,27067,34794,24935,27259
26,26614,34794,24512,27125
27,26468,34759,24512,26361
28,26355,34672,23633,26361
29,25869,33521,23541,25902
30,25438,33521,23443,25902
31,25274,33262,22704,25718
32,24595,33262,22091,25431
33,24397,33262,22031,25075
34,23498,32782,21235,24872
35,23498,32782,21235,24872
36,23301,32610,21004,24195
37,23276,32610,20823,24195
38,22958,31037,20596,24195
39,22625,31037,20359,24170
40,22535,31037,20146,23254
41,21856,31037,19726,23122
42,21856,30860,19632,23088
43,21758,30860,19374,22786
44,21192,30840,19123,22563
45,21192,30001,19061,21965
46,21192,30001,18712,21756
47,20530,29939,18497,21711
48,20530,29939,18326,21564
49,20498,29939,18133,21211
50,20448,29939,17938,20848
51,20042,29871,17600,20775
52,19892,29813,17539,20740
53,19493,29813,17427,20242
54,19343,29813,17043,19900
55,19101,29813,17021,19900
56,18710,29125,17021,19900
57,18350,28941,17021,19694
58,18299,28941,16997,19665
59,18274,28941,16854,19370
60,17930,28929,16818,19283
61,17915,28929,16802,19053
62,17690,28929,16739,18622
63,17468,28929,16702,18622
64,17278,28840,16571,18549
65,17102,28398,16571,18408
66,16991,27854,16518,18369
67,16875,27854,16294,18052
68,16752,27854,16294,17982
69,16656,27679,16276,17884
70,16645,26996,16190,17671
71,16439,26996,16173,17318
72,16325,26996,16131,17255
73,16249,26495,16117,17171
74,16139,26495,16090,17126
75,16089,26495,16037,17106
76,16013,26495,15999,16954
77,15955,26495,15990,16869
78,15929,26495,15947,16787
79,15836,26495,15880,16659
80,15825,26493,15880,16604
81,15745,26419,15880,16497
82,15658,26419,15854,16409
83,15642,26419,15851,16350
84,15606,26419,15821,16304
85,15547,26419,15814,16268
86,15530,26419,15785,16257
87,15515,26419,15766,16231
88,15463,26419,15725,16182
89,15398,26419,15716,16129
90,15376,26419,15699,16093
91,15339,26419,15686,16093
92,15322,26363,15660,16051
93,15302,26363,15644,16030
94,15276,26363,15633,15949
95,15259,26363,15630,15949
96,15256,26363,15630,15877
97,15256,26363,15618,15840
98,15236,26363,15615,15806
99,15236,26363,15601,15806
100,15219,26363,15589,15796
101,15219,26363,15583,15793
102,15219,26259,15583,15751
103,15219,26202,15583,15751
104,15219,26202,15583,15730
105,15219,26202,15583,15723
106,15219,26202,15583,15717
107,15219,26202,15583,15698
108,15219,26201,15583,15698
109,15219,26201,15583,15681
110,15219,26201,15583,15681
111,15219,26201,15583,15673
112,15219,26201,15583,15658
113,15219,26166,15583,15658
114,15219,26166,15583,15649
115,15219,26166,15583,15649
116,15219,26166,15583,15649
117,15219,26113,15583,15649
118,15219,26113,15583,15649
119,15219,26113,15583,15649
120,15219,26113,15583,15649
121,15219,26113,15583,15649
122,15219,26025,15583,15649
123,15219,26025,15583,15649
124,15219,26025,15583,15622
125,15219,26025,15583,15622
126,15219,26025,15583,15375
127,15219,26025,15583,15375
128,15219,26025,15583,15374
129,15219,26025,15583,15374
130,15219,26025,15583,15345
131,15219,26025,15583,15345
132,15219,26025,15583,15170
133,15219,25894,15583,15147
134,15219,25894,15583,15143
135,15219,25894,15583,15098
136,15219,25894,15583,15070
137,15219,25894,15583,15066
138,15219,25775,15583,15035
139,15219,25702,15583,14994
140,15219,25702,15583,14974
141,15219,25702,15583,14915
142,15219,25702,15583,14915
143,15219,25537,15583,14892
144,15219,25429,15583,14860
145,15219,25429,15583,14860
146,15219,25429,15583,14856
147,15219,25207,15583,14846
148,15219,25207,15583,14798
149,15219,25207,15583,14789
150,15219,25207,15583,14785
151,15219,25207,15583,14778
152,15219,25207,15583,14778
153,15219,25207,15583,14702
154,15219,25207,15583,14702
155,15219,25207,15583,14702
156,15219,25207,15583,14684
157,15219,25207,15583,14684
158,15219,24934,15583,14684
159,15219,24934,15583,14667
160,15219,24760,15583,14667
161,15219,24734,15583,14667
162,15219,24734,15583,14667
163,15219,24734,15583,14667
164,15219,24389,15583,14667
165,15219,24389,15583,14667
166,15219,24379,15583,14667
167,15219,24379,15583,14667
168,15219,24313,15583,14667
169,15219,24313,15583,14667
170,15219,24313,15583,14667
171,15219,24313,15583,14667
172,15219,24313,15583,14667
173,15219,24313,15583,14667
174,15219,24313,15583,14667
175,15219,24313,15583,14667
176,15219,24313,15583,14667
177,15219,24313,15583,14667
178,15219,24313,15583,14667
179,15219,24313,15583,14667
180,15219,24313,15583,14667
181,15219,24313,15583,14667
182,15219,24313,15583,14667
183,15219,24313,15583,14667
184,15219,24313,15583,14667
185,15219,24313,15583,14667
186,15219,24313,15583,14667
187,15219,24313,15583,14667
188,15219,24313,15583,14667
189,15219,24313,15583,14667
190,15219,24313,15583,14667
191,15219,24313,15583,14667
192,15219,24285,15583,14667
193,15219,24285,15583,14667
194,15219,24285,15583,14667
195,15219,24285,15583,14667
196,15219,24285,15583,14667
197,15219,24285,15583,14667
198,15219,24285,15583,14667
199,15219,24285,15583,14667
200,15219,24285,15583,14667
201,15219,24285,15583,14667
202,15219,24285,15583,14667
203,15219,24285,15583,14667
204,15219,24285,15583,14667
205,15219,24214,15583,14667
206,15219,24214,15583,14667
207,15219,24214,15583,14667
208,15219,24214,15583,14667
209,15219,24214,15583,14667
210,15219,24214,15583,14667
211,15219,24214,15583,14667
212,15219,24214,15583,14667
213,15219,24214,15583,14667
214,15219,24122,15583,14667
215,15219,23789,15583,14667
216,15219,23789,15583,14667
217,15219,23789,15583,14667
218,15219,23789,15583,14667
219,15219,23699,15583,14667
220,15219,23699,15583,14667
221,15219,23699,15583,14667
222,15219,23699,15583,14667
223,15219,23699,15583,14667
224,15219,23699,15583,14667
225,15219,23699,15583,14667
226,15219,23699,15583,14667
227,15219,23699,15583,14667
228,15219,23600,15583,14667
229,15219,23600,15583,14667
230,15219,23530,15583,14667
231,15219,23530,15583,14667
232,15219,23529,15583,14667
233,15219,23529,15583,14667
234,15219,23529,15583,14667
235,15219,23529,15583,14667
236,15219,23529,15583,14667
237,15219,23529,15583,14667
238,15219,23529,15583,14667
239,15219,23529,15583,14667
240,15219,23529,15583,14667
241,15219,23529,15583,14667
242,15219,23529,15583,14667
243,15219,23529,15583,14667
244,15219,23529,15583,14667
245,15219,23529,15583,14667
246,15219,23529,15583,14667
247,15219,23529,15583,14667
248,15219,23529,15583,14667
249,15219,23529,15583,14667
250,15219,23529,15583,14667
251,15219,23529,15583,14667
252,15219,23529,15583,14667
253,15219,23529,15583,14667
254,15219,23529,15583,14667
255,15219,23529,15583,14667
256,15219,23529,15583,14667
257,15219,23529,15583,14667
258,15219,23529,15583,14667
259,15219,23529,15583,14667
260,15219,23529,15583,14667
261,15219,23529,15583,14667
262,15219,23288,15583,14667
263,15219,23288,15583,14667
264,15219,23012,15583,14667
265,15219,23012,15583,14667
266,15219,23012,15583,14667
267,15219,23012,15583,14667
268,15219,23012,15583,14667
269,15219,22945,15583,14667
270,15219,22945,15583,14667
271,15219,22945,15583,14667
272,15219,22945,15583,14667
273,15219,22945,15583,14667
274,15219,22862,15583,14667
275,15219,22789,15583,14667
276,15219,22789,15583,14667
277,15219,22789,15583,14667
278,15219,22789,15583,14667
279,15219,22789,15583,14667
280,15219,22789,15583,14667
281,15219,22789,15583,14667
282,15219,22789,15583,14667
283,15219,22789,15583,14667
284,15219,22576,15583,14667
285,15219,22576,15583,14667
286,15219,22576,15583,14667
287,15219,22576,15583,14667
288,15219,22576,15583,14667
289,15219,22576,15583,14667
290,15219,22540,15583,14667
291,15219,22540,15583,14667
292,15219,22540,15583,14667
293,15219,22540,15583,14667
294,15219,22540,15583,14667
295,15219,22106,15583,14667
296,15219,21984,15583,14667
297,15219,21984,15583,14667
298,15219,21984,15583,14667
299,15219,21984,15583,14667
300,15219,21984,15583,14667
301,15219,21984,15583,14667
302,15219,21984,15583,14667
303,15219,21984,15583,14667
304,15219,21984,15583,14667
305,15219,21984,15583,14667
306,15219,21984,15583,14667
307,15219,21984,15583,14667
308,15219,21984,15583,14667
309,15219,21984,15583,14667
310,15219,21984,15583,14667
311,15219,21984,15583,14667
312,15219,21984,15583,14667
313,15219,21984,15583,14667
314,15219,21984,15583,14667
315,15219,21984,15583,14667
316,15219,21984,15583,14667
317,15219,21984,15583,14667
318,15219,21984,15583,14667
319,15219,21984,15583,14667
320,15219,21984,15583,14667
321,15219,21449,15583,14667
322,15219,21449,15583,14667
323,15219,21449,15583,14667
324,15219,21449,15583,14667
325,15219,21449,15583,14667
326,15219,21449,15583,14667
327,15219,21449,15583,14667
328,15219,21449,15583,14667
329,15219,21449,15583,14667
330,15219,21449,15583,14667
331,15219,21449,15583,14667
332,15219,21449,15583,14667
333,15219,21449,15583,14667
334,15219,21449,15583,14667
335,15219,21449,15583,14667
336,15219,21449,15583,14667
337,15219,21449,15583,14667
338,15219,21449,15583,14667
339,15219,21449,15583,14667
340,15219,21376,15583,14667
341,15219,21376,15583,14667
342,15219,21376,15583,14667
343,15219,21376,15583,14667
344,15219,21376,15583,14667
345,15219,21343,15583,14667
346,15219,21343,15583,14667
347,15219,21343,15583,14667
348,15219,21343,15583,14667
349,15219,21315,15583,14667
350,15219,21315,15583,14667
351,15219,21315,15583,14667
352,15219,21315,15583,14667
353,15219,21272,15583,14667
354,15219,21272,15583,14667
355,15219,21272,15583,14667
356,15219,21272,15583,14667
357,15219,21272,15583,14667
358,15219,21272,15583,14667
359,15219,21272,15583,14667
360,15219,21182,15583,14667
361,15219,21182,15583,14667
362,15219,21182,15583,14667
363,15219,21182,15583,14667
364,15219,21182,15583,14667
365,15219,21182,15583,14667
366,15219,21136,15583,14667
367,15219,21136,15583,14667
368,15219,21136,15583,14667
369,15219,21136,15583,14667
370,15219,21136,15583,14667
371,15219,21136,15583,14667
372,15219,21136,15583,14667
373,15219,21136,15583,14667
374,15219,21136,15583,14667
375,15219,21136,15583,14667
376,15219,21136,15583,14667
377,15219,21136,15583,14667
378,15219,21136,15583,14667
379,15219,21136,15583,14667
