,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
0,42356,42356,42356,42356
1,40904,41961,39766,41535
2,39663,41961,38336,40174
3,37757,41961,36963,39505
4,37289,41961,36507,38853
5,36428,40978,35179,36996
6,35930,40978,35019,36971
7,35076,40978,33252,36280
8,34530,40978,32916,34867
9,33812,40978,31875,33751
10,33637,40978,31742,33751
11,32675,40978,31200,33405
12,31399,40978,30512,31689
13,31227,40978,30318,31092
14,30975,40978,29840,31092
15,30975,40978,29277,31092
16,30804,40978,29042,31092
17,29505,40978,28701,30894
18,29481,40978,28129,30754
19,29098,40978,27825,30120
20,28994,40978,27825,30120
21,28920,40978,26861,30120
22,28655,40978,26750,29618
23,27882,40768,26736,29234
24,27878,40768,26405,29234
25,27466,40768,26307,28489
26,27440,40768,25314,28489
27,27238,40768,25314,28388
28,26973,40768,25314,28227
29,26062,40327,25314,28144
30,25423,40327,24840,27872
31,25300,40327,24730,27423
32,25300,40327,24546,27317
33,25200,40327,24213,27110
34,25036,40250,23988,26994
35,24581,40091,23918,26994
36,24581,40091,23405,26949
37,24284,40091,23284,26610
38,24284,40091,23061,26257
39,24014,40091,22921,26149
40,23726,40091,22769,25963
41,23675,40091,22713,25755
42,23468,40091,22592,25732
43,23261,40091,22269,25658
44,23100,40091,22135,25469
45,23100,40091,22096,25306
46,22912,40091,21746,25178
47,22912,40091,21707,25042
48,22847,40091,21561,25035
49,22477,40091,21468,24820
50,22317,40091,21170,24520
51,22317,40091,21170,24431
52,22165,40091,21170,24371
53,22033,40091,20941,24326
54,22031,39741,20783,24254
55,21861,39741,20605,24121
56,21741,39741,20587,24121
57,21476,39741,20466,24003
58,21476,39741,20381,23832
59,21401,39741,20307,23739
60,21383,39741,20136,23686
61,21244,39741,20136,23613
62,21117,39741,20062,23557
63,21042,39741,19910,23509
64,20866,39741,19849,23480
65,20570,39741,19818,23426
66,20424,39741,19706,23426
67,20400,39741,19696,23397
68,20289,39741,19584,23329
69,20079,39741,19565,23277
70,20006,39741,19324,23219
71,19986,39741,19324,23196
72,19915,39741,19316,23090
73,19818,39741,19252,23052
74,19796,39741,19205,22636
75,19709,39291,19050,22565
76,19559,39291,18907,22385
77,19389,39291,18907,22374
78,19389,39207,18809,22284
79,19351,39207,18809,22250
80,19317,39207,18721,22103
81,19212,39207,18629,22056
82,19161,39207,18581,22000
83,19060,39207,18483,21901
84,18927,39207,18402,21819
85,18893,39207,18311,21763
86,18847,39207,18280,21681
87,18769,39207,18280,21651
88,18711,39207,18176,21588
89,18634,39207,18137,21574
90,18471,39207,18044,21488
91,18471,39207,17943,21482
92,18338,39207,17928,21453
93,18179,39207,17871,21412
94,18141,39207,17849,21412
95,18124,39207,17828,21390
96,18095,39207,17809,21350
97,18043,39207,17751,21314
98,18005,39207,17667,21292
99,17961,39207,17621,21187
100,17905,39207,17621,21095
101,17888,39207,17553,21084
102,17823,39207,17535,21049
103,17764,39207,17466,21025
104,17711,39207,17466,21012
105,17711,39207,17422,20980
106,17675,39207,17404,20903
107,17619,39207,17318,20890
108,17619,39207,17279,20871
109,17607,39207,17241,20800
110,17578,39139,17241,20785
111,17549,39139,17206,20695
112,17514,39139,17155,20695
113,17507,39139,17155,20656
114,17466,39139,17109,20613
115,17419,39139,17080,20556
116,17419,39139,17044,20555
117,17404,39139,17018,20549
118,17354,39139,16981,20404
119,17329,39139,16936,20330
120,17303,39139,16842,20330
121,17280,38976,16750,20239
122,17244,38976,16746,20239
123,17236,38976,16398,20201
124,17201,38976,16398,20180
125,17184,38976,16398,20168
126,17184,38976,16396,20168
127,17130,38976,16353,20153
128,17107,38976,16322,20084
129,17098,38976,16322,20084
130,17055,38976,16316,20072
131,17036,38976,16304,20000
132,16997,38976,16269,19992
