,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
0,42356,42356,42356,42356
1,39706,42218,40462,39899
2,39234,41824,38432,39026
3,38599,39818,37238,38159
4,36958,39818,35881,36714
5,36500,39549,34291,36268
6,36054,38794,33729,35369
7,35150,37741,33311,35340
8,34707,37741,31922,34429
9,34244,37209,31665,33558
10,33176,37209,31183,33558
11,32899,37024,30497,32872
12,32249,37024,30107,31681
13,31740,37024,29072,31503
14,31229,36061,28602,31482
15,30514,35300,28602,30997
16,29638,34639,28355,30326
17,29603,34639,27020,30326
18,29216,34639,26693,29956
19,28499,34639,26452,29930
20,27940,34639,26355,29903
21,27940,34639,26125,29477
22,27634,34639,26125,29142
23,27140,34417,25795,28657
24,26859,34417,25662,28600
25,26185,34417,25253,27991
26,26098,34417,24893,27739
27,25895,34193,24760,27564
28,25578,34193,24410,27330
29,25315,34193,24330,27299
30,24913,34193,24012,26912
31,24668,34193,23384,26539
32,24461,34193,23384,26314
33,24455,34193,23221,26058
34,24259,34176,23009,26030
35,23917,34176,22866,25402
36,23917,33853,22833,25402
37,23459,33853,22693,25241
38,23431,33853,22347,25118
39,23305,33817,21984,24625
40,23305,33817,21984,24268
41,22933,33817,21958,24059
42,22691,33817,21859,24059
43,22691,33691,21859,23572
44,22588,33691,21734,23383
45,21883,33691,21717,23383
46,21883,33691,21483,23354
47,21346,33691,21454,23168
48,21346,33691,21137,23096
49,21346,33169,20972,22892
50,21229,33169,20821,22827
51,21225,33169,20821,22709
52,21136,33169,20582,22656
53,21060,33169,20514,22632
54,20891,33169,20443,22586
55,20728,33169,20395,22469
56,20538,33169,20334,22438
57,20427,32872,20273,22361
58,20235,32872,20022,22215
59,19997,32872,19971,22209
60,19971,32872,19906,22110
61,19816,32872,19896,22004
62,19518,32872,19753,21864
63,19518,32872,19684,21789
64,19439,32856,19462,21674
65,19358,32856,19462,21596
66,19201,32856,19462,21481
67,18902,32856,19380,21428
68,18840,32778,19380,21297
69,18736,32747,19380,21147
70,18694,32747,19380,21147
71,18606,32747,19300,21052
72,18577,32405,19081,21052
73,18378,32405,18934,21000
74,18340,32405,18934,20939
75,18232,32405,18893,20896
76,18198,32405,18805,20856
77,18136,32297,18744,20785
78,18103,32297,18737,20696
79,18033,32297,18621,20683
80,17957,32198,18590,20628
81,17910,32192,18563,20593
82,17829,32192,18463,20583
83,17829,32192,18259,20563
84,17694,32192,18139,20527
85,17652,32192,18067,20503
86,17604,32192,18067,20470
87,17475,31989,17987,20352
88,17466,31989,17917,20320
89,17334,31989,17903,20262
90,17311,31989,17782,20223
91,17245,31989,17782,20191
92,17214,31989,17645,20143
93,17139,31989,17645,20128
94,17044,31989,17563,20089
95,17044,31989,17563,20042
96,16937,31989,17563,20032
97,16923,31989,17494,19938
98,16860,31989,17479,19894
99,16833,31989,17443,19865
100,16625,31917,17392,19823
101,16623,31917,17304,19782
102,16504,31917,17304,19714
103,16489,31917,17281,19645
104,16458,31917,17219,19604
105,16356,31917,17211,19578
106,16288,31917,17131,19520
107,16167,31917,17113,19450
108,16109,31917,17113,19400
109,16079,31917,17113,19363
110,16079,31917,17061,19345
111,16023,31744,17048,19315
112,16023,31744,17045,19296
113,15980,31744,17034,19267
114,15923,31744,16986,19233
115,15911,31744,16970,19211
116,15855,31744,16912,19194
117,15850,31744,16912,19146
118,15818,31507,16841,19035
119,15806,31507,16841,19035
120,15740,31507,16812,18996
121,15740,31507,16748,18985
122,15697,31507,16695,18981
123,15697,31487,16695,18942
124,15658,31487,16682,18931
125,15637,31231,16641,18922
126,15624,31231,16586,18885
127,15589,31231,16575,18844
128,15589,31231,16491,18832
129,15548,31231,16491,18820
130,15537,31231,16461,18750
131,15464,31231,16461,18750
132,15464,31231,16455,18718
133,15295,31231,16409,18701
134,15295,31231,16405,18686
135,15267,31231,16366,18624
136,15226,31231,16331,18624
137,15146,31231,16331,18586
138,15081,30895,16270,18570
139,15058,30895,16200,18556
140,14989,30895,16131,18540
141,14985,30895,16131,18527
142,14924,30895,16065,18517
143,14841,30895,15951,18498
144,14777,30895,15857,18484
145,14777,30895,15857,18424
146,14725,30895,15782,18424
147,14720,30895,15741,18406
148,14712,30734,15625,18386
149,14688,30734,15579,18360
150,14651,30734,15558,18328
151,14625,30734,15328,18321
152,14612,30734,15297,18291
153,14603,30734,15297,18286
154,14597,30734,15145,18275
155,14545,30734,15129,18249
156,14456,30734,14937,18228
157,14456,30734,14919,18209
158,14434,30734,14919,18194
159,14389,30734,14888,18161
160,14374,30293,14871,18147
161,14365,30293,14851,18143
162,14351,30293,14826,18122
163,14339,30293,14752,18121
164,14323,30293,14730,18112
165,14320,30285,14708,18097
166,14309,30285,14703,18091
167,14291,30285,14700,18067
168,14287,30285,14609,18058
169,14285,30285,14582,18052
170,14264,30285,14582,18044
171,14259,30285,14581,18038
172,14252,30285,14564,18025
173,14251,30285,14523,18017
174,14224,30285,14444,18002
175,14224,30285,14440,18002
176,14218,30285,14415,17992
177,14213,30285,14359,17991
178,14212,30285,14321,17980
179,14207,30248,14321,17980
180,14201,30248,14266,17970
181,14197,30248,14234,17965
182,14194,30248,14042,17941
183,14190,30248,14022,17941
184,14186,30248,14006,17939
185,14181,30248,13970,17927
186,14174,30248,13969,17919
187,14173,30248,13953,17878
188,14168,30248,13942,17878
189,14162,30248,13924,17863
190,14162,30248,13924,17854
191,14162,30248,13917,17851
192,14162,30248,13910,17829
193,14162,30248,13877,17828
194,14162,30248,13875,17828
