,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
0,42406,42406,42406,42406
1,41948,42406,41641,41916
2,41624,41931,40381,40997
3,40244,41931,39689,40298
4,39668,40866,38730,39407
5,39324,40820,36894,37436
6,38747,40367,36152,37087
7,38324,40367,35548,36568
8,37278,40250,34344,36097
9,36943,39545,33907,35466
10,36517,39545,33398,35466
11,35463,39501,32028,34877
12,34964,39466,31811,34665
13,34755,39466,31250,33605
14,33825,39145,30855,33502
15,33789,39051,30169,33127
16,33295,39051,29428,32749
17,33006,38879,29185,32335
18,32970,38696,28761,31647
19,32057,38204,28479,31647
20,31699,38204,28288,31120
21,31504,38204,27890,31120
22,31493,37986,27524,30639
23,31272,37664,27467,30510
24,31018,37664,27238,29781
25,30653,37112,27074,29781
26,30469,36387,26611,29010
27,30392,36387,26440,29010
28,30124,36387,26264,28673
29,29871,36387,25799,28610
30,29534,36369,25799,28377
31,29273,36369,25709,28280
32,29064,36369,25105,28102
33,28566,36369,24875,27772
34,27546,36369,24643,27740
35,27292,36369,24564,27418
36,27172,36369,24154,26900
37,26975,36369,24093,26827
38,26889,36307,23984,26730
39,26798,36307,23966,26596
40,26570,36307,23701,26426
41,26185,36307,23628,26381
42,25546,36307,23567,26156
43,25511,36307,23423,26143
44,25460,36058,23357,25969
45,24973,36042,23315,25499
46,24503,35113,23119,25389
47,24291,35032,22946,25288
48,24114,35032,22665,25221
49,23936,34241,22409,24966
50,23840,34209,22241,24966
51,23670,34189,22093,24635
52,23473,34189,22006,24635
53,23309,34189,21679,24320
54,23035,34189,21443,24250
55,22849,34083,21351,24174
56,22424,34007,21276,23933
57,22308,34007,21051,23786
58,22191,34007,20979,23729
59,21922,34007,20785,23659
60,21501,34007,20721,23449
61,21439,34007,20525,23438
62,21358,33333,20509,23361
63,21338,33333,20134,23204
64,21321,33333,20134,23094
65,21146,33265,19855,23089
66,21020,33265,19828,23009
67,20989,33265,19800,22882
68,20895,33265,19796,22778
69,20814,33265,19786,22732
70,20724,33265,19745,22645
71,20684,33265,19739,22628
72,20657,33265,19729,22554
73,20649,33265,19673,22544
74,20591,33265,19623,22502
75,20591,33265,19566,22476
76,20591,33197,19566,22435
77,20591,33106,19515,22413
78,20591,33106,19515,22394
79,20591,33057,19515,22352
80,20591,33057,19515,22341
81,20591,32907,19515,22339
82,20591,32856,19515,22303
83,20591,32856,19515,22156
84,20591,32856,19515,22156
85,20591,32856,19515,21981
86,20591,32856,19515,21893
87,20591,32706,19515,21803
88,20591,32706,19515,21721
89,20591,32577,19515,21721
90,20591,32577,19515,21721
91,20591,32577,19515,21721
92,20591,32577,19515,21721
93,20591,32451,19515,21721
94,20591,32451,19515,21721
95,20591,32451,19515,21721
96,20591,32451,19515,21721
97,20591,32451,19515,21721
98,20591,32451,19515,21721
99,20591,32451,19515,21721
100,20591,32451,19515,21721
101,20591,32414,19515,21721
102,20591,32414,19515,21721
103,20591,32414,19515,21721
104,20591,32297,19515,21721
105,20591,32297,19515,21721
106,20591,32297,19515,21721
107,20591,32280,19515,21721
108,20591,32280,19515,21721
109,20591,32280,19515,21721
110,20591,32280,19515,21721
111,20591,32280,19515,21721
112,20591,32277,19515,21721
113,20591,32227,19515,21721
114,20591,32227,19515,21721
115,20591,32227,19515,21721
116,20591,32179,19515,21721
117,20591,32179,19515,21721
118,20591,32179,19515,21721
119,20591,32179,19515,21721
120,20591,32179,19515,21721
121,20591,32175,19515,21721
122,20591,32175,19515,21721
123,20591,32175,19515,21721
124,20591,31771,19515,21721
125,20591,31656,19515,21721
126,20591,31656,19515,21721
127,20591,31656,19515,21721
128,20591,31656,19515,21721
129,20591,31656,19515,21721
130,20591,31321,19515,21721
131,20591,31321,19515,21721
132,20591,31302,19515,21721
133,20591,31302,19515,21721
134,20591,31302,19515,21721
135,20591,31097,19515,21721
136,20591,31097,19515,21721
137,20591,31097,19515,21721
138,20591,31079,19515,21721
139,20591,31079,19515,21721
140,20591,31046,19515,21721
141,20591,30978,19515,21721
142,20591,30978,19515,21721
143,20591,30978,19515,21721
144,20591,30978,19515,21721
145,20591,30949,19515,21592
146,20591,30949,19515,21592
147,20591,30949,19515,21592
148,20591,30949,19515,21440
149,20591,30949,19515,21440
150,20591,30949,19515,21440
151,20591,30949,19515,21440
152,20591,30741,19515,21440
153,20591,30318,19515,21440
154,20591,30318,19515,21440
155,20591,30318,19515,21440
156,20591,30318,19515,21440
157,20591,30318,19515,21438
158,20591,30318,19515,21438
159,20591,30318,19515,21438
160,20591,30296,19515,21359
161,20591,30296,19515,21359
162,20591,30296,19515,21359
163,20591,30296,19515,21359
164,20591,30270,19515,21359
165,20591,30270,19515,21359
166,20591,30270,19515,21359
167,20591,30264,19515,21359
168,20591,30224,19515,21359
169,20591,30224,19515,21359
170,20591,30027,19515,21359
171,20591,30027,19515,21359
172,20591,30027,19515,21359
173,20591,30027,19515,21359
174,20591,29856,19515,21359
175,20591,29856,19515,21359
176,20591,29851,19515,21359
177,20591,29851,19515,21359
178,20591,29851,19515,21359
179,20591,29811,19515,21359
180,20591,29811,19515,21359
181,20591,29809,19515,21359
182,20591,29809,19515,21359
183,20591,29809,19515,21359
184,20591,29652,19515,21359
185,20591,29652,19515,21359
186,20591,29313,19515,21359
187,20591,29313,19515,21359
188,20591,29313,19515,21359
189,20591,29313,19515,21359
190,20591,29313,19515,21359
191,20591,29258,19515,21359
192,20591,29258,19515,21359
193,20591,29258,19515,21359
194,20591,29258,19515,21359
195,20591,29258,19515,21359
196,20591,29232,19515,21359
197,20591,29232,19515,21359
198,20591,29232,19515,21359
199,20591,29219,19515,21359
200,20591,29091,19515,21359
201,20591,29091,19515,21359
202,20591,29078,19515,21359
203,20591,29078,19515,21359
204,20591,28716,19515,21359
205,20591,28716,19515,21359
206,20591,28716,19515,21359
207,20591,28716,19515,21359
208,20591,28716,19515,21359
209,20591,28716,19515,21359
210,20591,28716,19515,21359
211,20591,28716,19515,21359
212,20591,28716,19515,21359
213,20591,28716,19515,21359
214,20591,28716,19515,21359
215,20591,28716,19515,21359
216,20591,28716,19515,21359
217,20591,28716,19515,21359
218,20591,28716,19515,21359
219,20591,28716,19515,21359
220,20591,28716,19515,21359
221,20591,28716,19515,21359
222,20591,28711,19515,21359
223,20591,28504,19515,21359
224,20591,28372,19515,21359
225,20591,28307,19515,21359
226,20591,28307,19515,21359
227,20591,28307,19515,21359
228,20591,28177,19515,21359
229,20591,28177,19515,21359
230,20591,28177,19515,21359
231,20591,28177,19515,21359
232,20591,28177,19515,21359
233,20591,28177,19515,21359
234,20591,28177,19515,21359
235,20591,28177,19515,21359
236,20591,28177,19515,21359
237,20591,28177,19515,21359
238,20591,28177,19515,21359
239,20591,28177,19515,21359
240,20591,28177,19515,21359
241,20591,27968,19515,21359
242,20591,27968,19515,21359
243,20591,27884,19515,21359
244,20591,27884,19515,21359
245,20591,27884,19515,21359
246,20591,27884,19515,21359
247,20591,27817,19515,21359
248,20591,27817,19515,21359
249,20591,27817,19515,21359
250,20591,27817,19515,21359
251,20591,27745,19515,21359
252,20591,27745,19515,21359
253,20591,27745,19515,21359
254,20591,27745,19515,21359
255,20591,27745,19515,21359
256,20591,27585,19515,21359
257,20591,27585,19515,21359
258,20591,27585,19515,21359
259,20591,27585,19515,21359
260,20591,27585,19515,21359
261,20591,27585,19515,21359
262,20591,27585,19515,21359
263,20591,27580,19515,21359
264,20591,27580,19515,21359
265,20591,27580,19515,21359
266,20591,27464,19515,21359
267,20591,27464,19515,21359
268,20591,26858,19515,21359
269,20591,26858,19515,21359
270,20591,26858,19515,21359
271,20591,26858,19515,21359
272,20591,26858,19515,21359
273,20591,26858,19515,21359
274,20591,26750,19515,21359
275,20591,26750,19515,21359
276,20591,26750,19515,21359
